"Story","Title","Result","Date","Stability","Duration (s)"
"verificar el login con diferentes usuarios","Verificar el ingreso con rol, usuario inactivo","FAILURE","2023-04-20T11:11:15.425-05:00[America/Bogota]","0.0","30.92"
"verificar el login con diferentes usuarios","Verificar el ingreso con rol o usuario inactivo","SUCCESS","2023-04-20T11:30:01.442-05:00[America/Bogota]","0.0","24.16"
"verificar el login con diferentes usuarios","Verificar el ingreso con rol inactivo, usuario inactivo o sin programación","FAILURE","2023-04-20T12:47:43.079-05:00[America/Bogota]","0.0","41.89"
