"Story","Title","Result","Date","Stability","Duration (s)"
"verificar el login con diferentes usuarios","Verificar el ingreso corrrecto con un usuario","SUCCESS","2023-04-19T17:39:17.741-05:00[America/Bogota]","0.0","27.03"
"verificar el login con diferentes usuarios","Verificar el ingreso correcto con uno o diferentes usuarios","SUCCESS","2023-04-20T09:57:17.099-05:00[America/Bogota]","0.0","39.24"
"verificar el login con diferentes usuarios","Verificar el ingreso correcto con diferentes usuarios","SUCCESS","2023-04-11T16:32:31.173-05:00[America/Bogota]","0.0","46.72"
