"Story","Title","Result","Date","Stability","Duration (s)"
"verificar el login con diferentes usuarios","Verificar el ingreso corrrecto con un usuario","SUCCESS","2023-04-19T17:39:17.741-05:00[America/Bogota]","0.0","27.03"
"verificar el login con diferentes usuarios","Verificar el ingreso correcto con diferentes usuarios","SUCCESS","2023-04-19T17:39:44.792-05:00[America/Bogota]","0.0","47.83"
"verificar el login con diferentes usuarios","Verificar el ingreso correcto con uno o diferentes usuarios","SUCCESS","2023-04-20T09:57:17.099-05:00[America/Bogota]","0.0","39.24"
"verificar el login con diferentes usuarios","Verificar el ingreso con credenciales incorrectas","SUCCESS","2023-04-20T11:06:44.416-05:00[America/Bogota]","0.0","35.98"
"verificar el login con diferentes usuarios","Verificar el ingreso con rol o usuario inactivo","SUCCESS","2023-04-20T11:30:01.442-05:00[America/Bogota]","0.0","24.16"
"verificar el login con diferentes usuarios","Verificar el ingreso correcto con diferentes usuarios","SUCCESS","2023-04-11T16:32:31.173-05:00[America/Bogota]","0.0","46.72"
"verificar el login con diferentes usuarios","Verificar el ingreso con credenciales incorrectas","SUCCESS","2023-04-11T16:33:17.9-05:00[America/Bogota]","0.0","29.61"
